Tanggal,Crictical,ISPU,Status
1-1-2022,PM10,29,Baik
1-2-2022,SO2,23,Baik
1-3-2022,PM10,28,Baik
1-4-2022,PM10,29,Baik
1-5-2022,PM10,42,Baik
1-6-2022,PM10,43,Baik
1-7-2022,PM10,27,Baik
1-8-2022,PM10,19,Baik
1-9-2022,SO2,25,Baik
1-10-2022,PM10,21,Baik
1-11-2022,PM10,20,Baik
1-12-2022,NO2,23,Baik
1-13-2022,NO2,15,Baik
1-14-2022,PM10,26,Baik
1-15-2022,PM10,32,Baik
1-16-2022,PM10,34,Baik
1-17-2022,PM10,29,Baik
1-18-2022,PM10,18,Baik
1-19-2022,PM10,24,Baik
1-20-2022,PM10,16,Baik
1-21-2022,PM10,21,Baik
1-22-2022,NO2,17,Baik
1-23-2022,PM10,32,Baik
1-24-2022,PM10,22,Baik
1-25-2022,O3,31,Baik
1-26-2022,O3,24,Baik
1-27-2022,PM10,17,Baik
1-28-2022,PM10,29,Baik
1-29-2022,PM10,17,Baik
1-30-2022,PM10,47,Baik
1-31-2022,PM10,45,Baik
2-1-2022,PM10,33,Baik
2-2-2022,PM10,32,Baik
2-3-2022,PM10,43,Baik
2-4-2022,PM10,37,Baik
2-5-2022,PM10,55,Baik
2-6-2022,PM10,22,Baik
2-7-2022,SO2,13,Baik
2-8-2022,PM10,20,Baik
2-9-2022,PM10,32,Baik
2-10-2022,SO2,18,Baik
2-11-2022,O3,18,Baik
2-12-2022,NO2,14,Baik
2-13-2022,PM10,24,Baik
2-14-2022,PM10,26,Baik
2-15-2022,PM10,19,Baik
2-16-2022,PM10,15,Baik
2-17-2022,PM10,24,Baik
2-18-2022,PM10,27,Baik
2-19-2022,PM10,32,Baik
2-20-2022,PM10,42,Baik
2-21-2022,PM10,43,Baik
2-22-2022,PM10,38,Baik
2-23-2022,PM10,29,Baik
2-24-2022,NO2,13,Baik
2-25-2022,PM10,10,Baik
2-26-2022,O3,14,Baik
2-27-2022,O3,16,Baik
2-28-2022,O3,15,Baik
3-1-2022,NO2,16,Baik
3-2-2022,NO2,14,Baik
3-3-2022,PM10,14,Baik
3-4-2022,PM10,16,Baik
3-5-2022,NO2,20,Baik
3-6-2022,PM10,17,Baik
3-7-2022,O3,12,Baik
3-8-2022,PM10,17,Baik
3-9-2022,PM10,30,Baik
3-10-2022,PM10,36,Baik
3-11-2022,PM10,28,Baik
3-12-2022,PM10,20,Baik
3-13-2022,NO2,17,Baik
3-14-2022,SO2,14,Baik
3-15-2022,PM10,19,Baik
3-16-2022,PM10,31,Baik
3-17-2022,PM10,41,Baik
3-18-2022,PM10,36,Baik
3-19-2022,PM10,32,Baik
3-20-2022,SO2,27,Baik
3-21-2022,SO2,36,Baik
3-22-2022,NO2,15,Baik
3-23-2022,NO2,23,Baik
3-24-2022,PM10,17,Baik
3-25-2022,PM10,34,Baik
3-26-2022,PM10,56,Sedang
3-27-2022,PM10,35,Baik
3-28-2022,SO2,18,Baik
3-29-2022,PM10,35,Baik
3-30-2022,PM10,48,Baik
3-31-2022,PM10,55,Sedang
4-1-2022,PM10,36,Baik
4-2-2022,PM10,34,Baik
4-3-2022,PM10,38,Baik
4-4-2022,SO2,16,Baik
4-5-2022,PM10,28,Baik
4-6-2022,PM10,40,Baik
4-7-2022,PM10,21,Baik
4-8-2022,SO2,20,Baik
4-9-2022,NO2,27,Baik
4-10-2022,NO2,33,Baik
4-11-2022,PM10,37,Baik
4-12-2022,PM10,36,Baik
4-13-2022,PM10,44,Baik
4-14-2022,PM10,38,Baik
4-15-2022,PM10,47,Baik
4-16-2022,NO2,35,Baik
4-17-2022,PM10,49,Baik
4-18-2022,PM10,45,Baik
4-19-2022,NO2,37,Baik
4-20-2022,NO2,28,Baik
4-21-2022,PM10,27,Baik
4-22-2022,PM10,30,Baik
4-23-2022,PM10,36,Baik
4-24-2022,PM10,27,Baik
4-25-2022,PM10,36,Baik
4-26-2022,PM10,26,Baik
4-27-2022,PM10,28,Baik
4-28-2022,SO2,26,Baik
4-29-2022,PM10,27,Baik
4-30-2022,PM10,27,Baik
5-1-2022,PM10,39,Baik
5-2-2022,PM10,31,Baik
5-3-2022,SO2,30,Baik
5-4-2022,SO2,29,Baik
5-5-2022,SO2,32,Baik
5-6-2022,SO2,27,Baik
5-7-2022,SO2,29,Baik
5-8-2022,PM10,32,Baik
5-9-2022,PM10,37,Baik
5-10-2022,PM10,35,Baik
5-11-2022,PM10,41,Baik
5-12-2022,PM10,36,Baik
5-13-2022,SO2,20,Baik
5-14-2022,PM10,34,Baik
5-15-2022,PM10,53,Sedang
5-16-2022,PM10,39,Baik
5-17-2022,PM10,39,Baik
5-18-2022,PM10,27,Baik
5-19-2022,PM10,41,Baik
5-20-2022,PM10,53,Baik
5-21-2022,SO2,24,Baik
5-22-2022,PM10,35,Baik
5-23-2022,PM10,31,Baik
5-24-2022,PM10,21,Baik
5-25-2022,PM10,36,Baik
5-26-2022,PM10,26,Baik
5-27-2022,PM10,59,Sedang
5-28-2022,PM10,60,Sedang
5-29-2022,PM10,60,Sedang
5-30-2022,PM10,60,Sedang
5-31-2022,PM10,60,Sedang
6-1-2022,PM10,60,Sedang
6-2-2022,PM10,60,Sedang
6-3-2022,PM10,36,Baik
6-4-2022,PM10,43,Baik
6-5-2022,PM10,51,Sedang
6-6-2022,PM10,40,Baik
6-7-2022,PM10,34,Baik
6-8-2022,PM10,28,Baik
6-9-2022,PM10,26,Baik
6-10-2022,PM10,41,Baik
6-11-2022,PM10,36,Baik
6-12-2022,PM10,41,Baik
6-13-2022,PM10,40,Baik
6-14-2022,PM10,50,Baik
6-15-2022,PM10,48,Baik
6-16-2022,PM10,26,Baik
6-17-2022,PM10,40,Baik
6-18-2022,PM10,43,Baik
6-19-2022,PM10,53,Sedang
6-20-2022,PM10,36,Baik
6-21-2022,PM10,28,Baik
6-22-2022,PM10,33,Baik
6-23-2022,PM10,26,Baik
6-24-2022,PM10,23,Baik
6-25-2022,PM10,21,Baik
6-26-2022,PM10,34,Baik
6-27-2022,PM10,41,Baik
6-28-2022,PM10,23,Baik
6-29-2022,PM10,16,Baik
6-30-2022,PM10,26,Baik
7-1-2022,PM10,31,Baik
7-2-2022,PM10,32,Baik
7-3-2022,PM10,33,Baik
7-4-2022,PM10,27,Baik
7-5-2022,PM10,25,Baik
7-6-2022,PM10,48,Baik
7-7-2022,PM10,51,Sedang
7-8-2022,PM10,38,Baik
7-9-2022,PM10,18,Baik
7-10-2022,PM10,28,Baik
7-11-2022,PM10,31,Baik
7-12-2022,PM10,42,Baik
7-13-2022,PM10,46,Baik
7-14-2022,PM10,31,Baik
7-15-2022,PM10,34,Baik
8-2-2022,PM10,57,Sedang
8-3-2022,PM10,67,Sedang
8-4-2022,PM10,53,Sedang
8-5-2022,PM10,31,Baik
8-6-2022,PM10,53,Sedang
8-7-2022,PM10,51,Sedang
8-8-2022,NO2,22,Baik
8-9-2022,PM10,23,Baik
8-10-2022,PM10,30,Baik
8-11-2022,PM10,36,Baik
8-12-2022,PM10,41,Baik
8-13-2022,PM10,31,Baik
8-14-2022,PM10,41,Baik
8-15-2022,PM10,25,Baik
8-16-2022,PM10,30,Baik
8-17-2022,PM10,44,Baik
8-18-2022,PM2.5,43,Baik
8-19-2022,PM2.5,60,Sedang
8-20-2022,PM2.5,45,Baik
8-21-2022,PM2.5,56,Sedang
8-22-2022,PM2.5,73,Sedang
8-23-2022,PM2.5,78,Sedang
8-24-2022,PM2.5,69,Sedang
8-25-2022,PM2.5,71,Sedang
8-26-2022,PM2.5,67,Sedang
8-27-2022,PM2.5,71,Sedang
8-28-2022,PM2.5,66,Sedang
8-29-2022,PM2.5,61,Sedang
8-30-2022,PM2.5,73,Sedang
8-31-2022,PM2.5,78,Sedang
9-1-2022,PM2.5,93,Sedang
9-2-2022,PM2.5,62,Sedang
9-3-2022,PM2.5,76,Sedang
9-4-2022,PM2.5,75,Sedang
9-5-2022,PM2.5,93,Sedang
9-6-2022,PM2.5,91,Sedang
9-7-2022,PM2.5,69,Sedang
9-8-2022,PM2.5,71,Sedang
9-9-2022,SO2,37,Baik
9-10-2022,PM2.5,63,Sedang
9-11-2022,PM2.5,67,Sedang
9-12-2022,PM2.5,58,Sedang
9-13-2022,SO2,4,Baik
9-14-2022,PM2.5,73,Sedang
9-15-2022,PM2.5,2,Baik
9-16-2022,PM2.5,63,Sedang
9-17-2022,PM2.5,67,Sedang
9-18-2022,PM2.5,67,Sedang
9-19-2022,PM2.5,68,Sedang
9-20-2022,PM2.5,59,Sedang
9-23-2022,PM2.5,60,Sedang
9-24-2022,PM2.5,69,Sedang
9-25-2022,PM2.5,63,Sedang
9-26-2022,PM2.5,57,Sedang
9-27-2022,PM2.5,52,Sedang
9-28-2022,PM2.5,62,Sedang
9-29-2022,PM2.5,65,Sedang
9-30-2022,PM2.5,73,Sedang
10-1-2022,PM2.5,62,Sedang
10-2-2022,PM2.5,68,Sedang
10-3-2022,PM2.5,67,Sedang
10-4-2022,PM2.5,58,Sedang
10-5-2022,PM2.5,50,Baik
10-6-2022,PM2.5,63,Sedang
10-7-2022,PM2.5,65,Sedang
10-8-2022,PM2.5,62,Sedang
10-9-2022,PM2.5,54,Sedang
10-10-2022,PM2.5,56,Sedang
10-11-2022,PM2.5,69,Sedang
10-12-2022,PM2.5,67,Sedang
10-13-2022,PM2.5,56,Sedang
10-14-2022,PM2.5,56,Sedang
10-15-2022,PM2.5,65,Sedang
10-16-2022,PM2.5,80,Sedang
10-17-2022,PM2.5,60,Sedang
10-18-2022,PM2.5,62,Sedang
10-19-2022,PM2.5,96,Sedang
10-20-2022,PM2.5,82,Sedang
10-21-2022,PM2.5,72,Sedang
10-22-2022,PM2.5,59,Sedang
10-23-2022,PM2.5,61,Sedang
10-24-2022,PM2.5,74,Sedang
10-25-2022,PM2.5,24,Baik
10-26-2022,PM2.5,18,Baik
10-27-2022,PM2.5,58,Sedang
10-28-2022,PM2.5,60,Sedang
10-29-2022,PM2.5,48,Baik
10-30-2022,PM2.5,38,Baik
10-31-2022,PM2.5,50,Baik
11-1-2022,PM2.5,67,Sedang
11-2-2022,PM2.5,68,Sedang
11-3-2022,PM2.5,75,Sedang
11-4-2022,PM2.5,80,Sedang
11-5-2022,PM2.5,63,Sedang
11-6-2022,PM2.5,59,Sedang
11-7-2022,PM2.5,62,Sedang
11-8-2022,PM2.5,65,Sedang
11-9-2022,PM2.5,69,Sedang
11-10-2022,PM2.5,69,Sedang
11-11-2022,PM2.5,42,Baik
11-12-2022,PM2.5,53,Sedang
11-13-2022,PM2.5,60,Sedang
11-15-2022,PM2.5,67,Sedang
11-16-2022,PM2.5,76,Sedang
11-19-2022,O3,41,Baik
11-20-2022,PM2.5,24,Baik
11-21-2022,PM2.5,51,Sedang
11-30-2022,PM2.5,53,Sedang
12-6-2022,PM2.5,72,Sedang
12-10-2022,PM2.5,58,Sedang
12-11-2022,PM2.5,56,Sedang
12-17-2022,PM2.5,71,Sedang
12-20-2022,PM2.5,84,Sedang
12-21-2022,PM2.5,85,Sedang
12-22-2022,HC,77,Sedang
12-23-2022,HC,77,Sedang
12-24-2022,HC,77,Sedang
12-25-2022,HC,77,Sedang
12-26-2022,HC,77,Sedang
12-28-2022,PM2.5,27,Baik